,Car Brand,Varient,Year released,car_transmission,Kilometers_travelled,owned,fuel_varient,price,emi_available
411,Nissan,Micra  Active,2017,Manual,"69,834",1st,Petrol,"₹4,57,799","₹8,950/month"
412,Toyota,YARIS,2019,Manual,"61,586",1st,Petrol,"₹7,88,899","₹15,423/month"
413,Maruti,S  Cross,2020,Manual,"47,685",1st,Petrol,"₹11,62,299","₹21,827/month"
414,Hyundai,Tucson  New,2018,Automatic,"46,847",1st,Diesel,"₹18,74,099","₹35,194/month"
415,Maruti,IGNIS,2021,Automatic,"23,975",1st,Petrol,"₹8,36,899","₹15,716/month"
416,Maruti,Swift  Dzire,2012,Manual,"1,22,987",1st,Diesel,"₹4,40,999","₹8,622/month"
417,Maruti,Wagon  R  1.0,2015,Manual,"77,898",2nd,Petrol,"₹3,69,199","₹7,218/month"
418,Hyundai,Santro  Xing,2010,Manual,"30,754",1st,Petrol,"₹2,34,099","₹4,577/month"
419,Renault,Kwid,2018,Manual,"15,307",2nd,Petrol,"₹3,59,499","₹7,028/month"
420,Hyundai,i10,2010,Manual,"81,385",2nd,Petrol,"₹2,73,099","₹5,339/month"
421,Maruti,Swift,2011,Manual,"81,985",1st,Petrol,"₹3,82,749","₹7,483/month"
422,Maruti,Swift,2020,Manual,"61,278",1st,Petrol,"₹6,49,799","₹12,704/month"
423,Maruti,Swift,2020,Manual,"56,084",2nd,Petrol,"₹6,63,099","₹12,964/month"
424,Maruti,Swift  Dzire,2012,Manual,"99,947",1st,Diesel,"₹4,70,299","₹9,194/month"
425,Maruti,Swift  Dzire,2013,Manual,"90,314",1st,Diesel,"₹4,78,899","₹9,363/month"
426,Hyundai,Eon,2012,Manual,"22,674",2nd,Petrol,"₹2,54,299","₹4,972/month"
427,Maruti,A  Star,2010,Manual,"86,879",2nd,Petrol,"₹2,12,399","₹4,152/month"
428,Maruti,Swift  Dzire,2015,Manual,"94,556",1st,Petrol,"₹4,74,099","₹9,269/month"
429,Maruti,Swift,2012,Manual,"98,634",1st,Diesel,"₹3,74,399","₹7,320/month"
